=== Simulacion de particulas ===

tiempo,x0,y0,x1,y1,x2,y2,x3,y3
11.6,50.32,154,629.6,373.5,291,13.25,781.5,140
11.65,53.008,150,626,370.2,288,15,784,143.6
11.7,55.696,146,622.4,366.9,285,16.75,786,147.2
11.75,58.384,142,618.8,363.6,282,18.5,783.5,150.8
11.8,61.072,138,615.2,360.3,279,20.25,781,154.4
11.85,63.76,134,611.6,357,276,22,778.5,158
11.9,66.448,130,608,353.7,273,23.75,776,161.6
11.95,69.136,126,604.4,350.4,270,25.5,773.5,165.2
12,71.824,122,600.8,347.1,267,27.25,771,168.8
12.05,74.512,118,597.2,343.8,264,29,768.5,172.4
12.1,77.2,114,593.6,340.5,261,30.75,766,176
12.15,79.888,110,590,337.2,258,32.5,763.5,179.6
12.2,82.576,106,586.4,333.9,255,34.25,761,183.2
12.25,85.264,102,582.8,330.6,252,36,758.5,186.8
12.3,87.952,98,579.2,327.3,249,37.75,756,190.4
12.35,90.64,94,575.6,324,246,39.5,753.5,194
12.4,93.328,90,572,320.7,243,41.25,751,197.6
12.45,96.016,86,568.4,317.4,240,43,748.5,201.2
12.5,98.704,82,564.8,314.1,237,44.75,746,204.8
12.55,101.392,78,561.2,310.8,234,46.5,743.5,208.4
12.6,104.08,74,557.6,307.5,231,48.25,741,212
12.65,106.768,70,554,304.2,228,50,738.5,215.6
12.7,109.456,66,550.4,300.9,225,51.75,736,219.2
12.75,112.144,62,546.8,297.6,222,53.5,733.5,222.8
12.8,114.832,58,543.2,294.3,219,55.25,731,226.4
12.85,117.52,54,539.6,291,216,57,728.5,230
12.9,120.208,50,536,287.7,213,58.75,726,233.6
12.95,122.896,46,532.4,284.4,210,60.5,723.5,237.2
13,125.584,42,528.8,281.1,207,62.25,721,240.8
13.05,128.272,38,525.2,277.8,204,64,718.5,244.4
13.1,130.96,34,521.6,274.5,201,65.75,716,248
13.15,133.648,30,518,271.2,198,67.5,713.5,251.6
13.2,136.336,26,514.4,267.9,195,69.25,711,255.2
13.25,139.024,22,510.8,264.6,192,71,708.5,258.8
13.3,141.712,18,507.2,261.3,189,72.75,706,262.4
13.35,144.4,14,503.6,258,186,74.5,703.5,266
13.4,147.088,10,500,254.7,183,76.25,701,269.6
13.45,149.776,10,496.4,251.4,180,78,698.5,273.2
